timestamp,x,y,z
51458223484,-36.4375,-46.625,10.5
51458244481,-32.25,-23,23.6875
51458265488,-6.5,7.6875,21.9375
51458282139,9.5,22.75,-6
51458320089,-8.875,30.25,-15.5
51458325760,37.6875,14.375,-9.5625
51458341830,7.125,22.375,-14.625
51458371955,22.875,25.6875,-17.25
51458393091,17.4375,8.75,-0.5625
51458401385,0.3125,-1.25,22.5625
51458425452,-1.375,-4.5625,22.625
51458446998,-10.5,-6.8125,-1
51458468034,-9.5,3.8125,-7
51458484484,-1.25,-1.375,-5.9375
51458506968,14.625,-22.1875,-4.8125
51458537461,34.5625,-29.4375,-3.1875
51458546063,9.4375,-12.4375,1.4375
51458567407,4.125,20.75,-7.9375
51458595618,15.5625,25.375,-4.3125
51458604482,-5.625,27.75,-2.8125
51458628834,-30,21.375,-4.625
51458649518,-24.5625,13.8125,-18.75
51458672011,-15.25,4.1875,-34.375
51458687010,5.25,-14.3125,-24.0625
51458701355,-8.625,-4.5,-6.875
51458724482,8.5,27.9375,8.1875
51458747085,25.0625,27.75,23.3125
51458768054,9.25,5.8125,31.6875
51458784508,-15.3125,-1.8125,17.5
51458806970,-15.0625,-11.4375,-3.25
51458828096,-16.375,1.25,-20.6875
51458859561,-14.3125,11.75,-27.375
51458874464,8.625,14.5,-18.3125
51458888030,13.4375,17.5625,-2.6875
51458904598,14.1875,9.9375,11.9375
51458926987,18.9375,4.375,22.75
51458949573,4.1875,7.3125,24.0625
51458963833,-20.3125,-10.875,15.875
51458986961,-19.75,-27.4375,-2.25
51459008147,-21.6875,-13.0625,-25.6875
51459024290,-18.8125,-9.4375,-26.875
51459047122,1.5625,-12.9375,-3.6875
51459068112,8.8125,12.5,6.4375
51459083812,14.9375,12.6875,21.25
51459107006,11.9375,3.625,33.625
51459129508,-9.0625,2.5,29
51459152036,-14.625,-8.375,18.3125
51459166990,-2.1875,-2.4375,0.875
51459188079,-9,7.25,-11.8125
51459204615,-1.6875,8.375,-1.625
51459226980,10.25,2,9.875
51459248224,3.8125,11.3125,8.75
